Year,STUDENT_LEVEL,Country,location,Capital City
2015,UG,China,"[116.20E,39.55N]",Beijing
2015,UG,China,"[116.20E,39.55N]",Beijing
2015,UG,China,"[116.20E,39.55N]",Beijing
2015,UG,China,"[116.20E,39.55N]",Beijing
2015,UG,China,"[116.20E,39.55N]",Beijing
2015,UG,China,"[116.20E,39.55N]",Beijing
2015,UG,China,"[116.20E,39.55N]",Beijing
2015,UG,China,"[116.20E,39.55N]",Beijing
2015,UG,China,"[116.20E,39.55N]",Beijing
2015,UG,China,"[116.20E,39.55N]",Beijing
2015,UG,China,"[116.20E,39.55N]",Beijing
2015,UG,China,"[116.20E,39.55N]",Beijing
2015,UG,China,"[116.20E,39.55N]",Beijing
2015,UG,China,"[116.20E,39.55N]",Beijing
2015,UG,China,"[116.20E,39.55N]",Beijing
2015,UG,China,"[116.20E,39.55N]",Beijing
2015,UG,China,"[116.20E,39.55N]",Beijing
2015,UG,China,"[116.20E,39.55N]",Beijing
2015,UG,China,"[116.20E,39.55N]",Beijing
2015,UG,China,"[116.20E,39.55N]",Beijing
2015,UG,China,"[116.20E,39.55N]",Beijing
2015,UG,China,"[116.20E,39.55N]",Beijing
2015,UG,China,"[116.20E,39.55N]",Beijing
2015,UG,China,"[116.20E,39.55N]",Beijing
2016,UG,China,"[116.20E,39.55N]",Beijing
2015,UG,China,"[116.20E,39.55N]",Beijing
2015,UG,China,"[116.20E,39.55N]",Beijing
2015,UG,China,"[116.20E,39.55N]",Beijing
2015,UG,China,"[116.20E,39.55N]",Beijing
2015,UG,China,"[116.20E,39.55N]",Beijing
2015,UG,China,"[116.20E,39.55N]",Beijing
2015,UG,China,"[116.20E,39.55N]",Beijing
2015,UG,China,"[116.20E,39.55N]",Beijing
2015,UG,China,"[116.20E,39.55N]",Beijing
2015,UG,China,"[116.20E,39.55N]",Beijing
2015,UG,China,"[116.20E,39.55N]",Beijing
2015,UG,China,"[116.20E,39.55N]",Beijing
2015,UG,China,"[116.20E,39.55N]",Beijing
2015,UG,China,"[116.20E,39.55N]",Beijing
2015,UG,China,"[116.20E,39.55N]",Beijing
2015,UG,China,"[116.20E,39.55N]",Beijing
2015,UG,China,"[116.20E,39.55N]",Beijing
2015,UG,China,"[116.20E,39.55N]",Beijing
2015,UG,China,"[116.20E,39.55N]",Beijing
2015,UG,China,"[116.20E,39.55N]",Beijing
2015,UG,China,"[116.20E,39.55N]",Beijing
2015,UG,China,"[116.20E,39.55N]",Beijing
2015,UG,China,"[116.20E,39.55N]",Beijing
2015,UG,China,"[116.20E,39.55N]",Beijing
2015,UG,China,"[116.20E,39.55N]",Beijing
2015,UG,China,"[116.20E,39.55N]",Beijing
2015,UG,China,"[116.20E,39.55N]",Beijing
2015,UG,China,"[116.20E,39.55N]",Beijing
2015,UG,China,"[116.20E,39.55N]",Beijing
2015,UG,China,"[116.20E,39.55N]",Beijing
2015,UG,China,"[116.20E,39.55N]",Beijing
2015,UG,China,"[116.20E,39.55N]",Beijing
2015,UG,China,"[116.20E,39.55N]",Beijing
2015,UG,China,"[116.20E,39.55N]",Beijing
2015,UG,China,"[116.20E,39.55N]",Beijing
2015,UG,China,"[116.20E,39.55N]",Beijing
2015,UG,China,"[116.20E,39.55N]",Beijing
2015,UG,China,"[116.20E,39.55N]",Beijing
2015,UG,China,"[116.20E,39.55N]",Beijing
2015,UG,China,"[116.20E,39.55N]",Beijing
2015,UG,China,"[116.20E,39.55N]",Beijing
2015,UG,China,"[116.20E,39.55N]",Beijing
2015,UG,China,"[116.20E,39.55N]",Beijing
2015,UG,China,"[116.20E,39.55N]",Beijing
2015,UG,China,"[116.20E,39.55N]",Beijing
2015,UG,China,"[116.20E,39.55N]",Beijing
2015,UG,China,"[116.20E,39.55N]",Beijing
2015,UG,China,"[116.20E,39.55N]",Beijing
2015,UG,China,"[116.20E,39.55N]",Beijing
2015,UG,China,"[116.20E,39.55N]",Beijing
2015,UG,China,"[116.20E,39.55N]",Beijing
2015,UG,China,"[116.20E,39.55N]",Beijing
2015,UG,China,"[116.20E,39.55N]",Beijing
2015,UG,China,"[116.20E,39.55N]",Beijing
2015,UG,China,"[116.20E,39.55N]",Beijing
2015,UG,China,"[116.20E,39.55N]",Beijing
2015,UG,China,"[116.20E,39.55N]",Beijing
2015,UG,China,"[116.20E,39.55N]",Beijing
2015,UG,China,"[116.20E,39.55N]",Beijing
2015,UG,China,"[116.20E,39.55N]",Beijing
2015,UG,China,"[116.20E,39.55N]",Beijing
2015,UG,China,"[116.20E,39.55N]",Beijing
2015,UG,China,"[116.20E,39.55N]",Beijing
2015,UG,China,"[116.20E,39.55N]",Beijing
2015,UG,China,"[116.20E,39.55N]",Beijing
2015,UG,China,"[116.20E,39.55N]",Beijing
2015,UG,China,"[116.20E,39.55N]",Beijing
2015,UG,China,"[116.20E,39.55N]",Beijing
2015,UG,China,"[116.20E,39.55N]",Beijing
2015,UG,China,"[116.20E,39.55N]",Beijing
2015,UG,China,"[116.20E,39.55N]",Beijing
2015,UG,China,"[116.20E,39.55N]",Beijing
2015,UG,China,"[116.20E,39.55N]",Beijing
2015,UG,China,"[116.20E,39.55N]",Beijing
2015,UG,China,"[116.20E,39.55N]",Beijing
2015,UG,China,"[116.20E,39.55N]",Beijing
2015,UG,China,"[116.20E,39.55N]",Beijing
2015,UG,China,"[116.20E,39.55N]",Beijing
2015,UG,China,"[116.20E,39.55N]",Beijing
2015,UG,China,"[116.20E,39.55N]",Beijing
2015,UG,China,"[116.20E,39.55N]",Beijing
2015,UG,China,"[116.20E,39.55N]",Beijing
2015,UG,China,"[116.20E,39.55N]",Beijing
2015,UG,China,"[116.20E,39.55N]",Beijing
2015,UG,China,"[116.20E,39.55N]",Beijing
2015,UG,China,"[116.20E,39.55N]",Beijing
2015,UG,China,"[116.20E,39.55N]",Beijing
2015,UG,China,"[116.20E,39.55N]",Beijing
2015,UG,China,"[116.20E,39.55N]",Beijing
2015,UG,China,"[116.20E,39.55N]",Beijing
2015,UG,China,"[116.20E,39.55N]",Beijing
2015,UG,China,"[116.20E,39.55N]",Beijing
2015,UG,China,"[116.20E,39.55N]",Beijing
2015,UG,China,"[116.20E,39.55N]",Beijing
2016,UG,China,"[116.20E,39.55N]",Beijing
2015,UG,China,"[116.20E,39.55N]",Beijing
2016,UG,China,"[116.20E,39.55N]",Beijing
2016,UG,China,"[116.20E,39.55N]",Beijing
2016,UG,China,"[116.20E,39.55N]",Beijing
2016,UG,China,"[116.20E,39.55N]",Beijing
2016,UG,China,"[116.20E,39.55N]",Beijing
2016,UG,China,"[116.20E,39.55N]",Beijing
2016,UG,China,"[116.20E,39.55N]",Beijing
2016,UG,China,"[116.20E,39.55N]",Beijing
2016,UG,China,"[116.20E,39.55N]",Beijing
2016,UG,China,"[116.20E,39.55N]",Beijing
2016,UG,China,"[116.20E,39.55N]",Beijing
2016,UG,China,"[116.20E,39.55N]",Beijing
2016,UG,China,"[116.20E,39.55N]",Beijing
2016,UG,China,"[116.20E,39.55N]",Beijing
2016,UG,China,"[116.20E,39.55N]",Beijing
2016,UG,China,"[116.20E,39.55N]",Beijing
2016,UG,China,"[116.20E,39.55N]",Beijing
2016,UG,China,"[116.20E,39.55N]",Beijing
2016,UG,China,"[116.20E,39.55N]",Beijing
2016,UG,China,"[116.20E,39.55N]",Beijing
2016,UG,China,"[116.20E,39.55N]",Beijing
2016,UG,China,"[116.20E,39.55N]",Beijing
2016,UG,China,"[116.20E,39.55N]",Beijing
2016,UG,China,"[116.20E,39.55N]",Beijing
2016,UG,China,"[116.20E,39.55N]",Beijing
2016,UG,China,"[116.20E,39.55N]",Beijing
2016,UG,China,"[116.20E,39.55N]",Beijing
2016,UG,China,"[116.20E,39.55N]",Beijing
2016,UG,China,"[116.20E,39.55N]",Beijing
2016,UG,China,"[116.20E,39.55N]",Beijing
2016,UG,China,"[116.20E,39.55N]",Beijing
2016,UG,China,"[116.20E,39.55N]",Beijing
2016,UG,China,"[116.20E,39.55N]",Beijing
2016,UG,China,"[116.20E,39.55N]",Beijing
2016,UG,China,"[116.20E,39.55N]",Beijing
2017,UG,China,"[116.20E,39.55N]",Beijing
2016,UG,China,"[116.20E,39.55N]",Beijing
2016,UG,China,"[116.20E,39.55N]",Beijing
2016,UG,China,"[116.20E,39.55N]",Beijing
2016,UG,China,"[116.20E,39.55N]",Beijing
2016,UG,China,"[116.20E,39.55N]",Beijing
